molecule_chembl_id;canonical_smiles;standard_value;bioactivity
CHEMBL300091;CNC(=O)N1C(=O)[C@@H](C)[C@@H]2[C@@H]1CCN2C(=O)OCc1ccccc1;5000000;inactive
CHEMBL45899;CC(=O)N1C(=O)[C@@H](C)[C@@H]2[C@@H]1CCN2C(=O)OCc1ccccc1;400000;inactive
CHEMBL298170;COC(=O)N1C(=O)[C@@H](C)[C@@H]2[C@@H]1CCN2C(=O)OCc1ccccc1;1480000;inactive
CHEMBL301787;CC1CC1C(=O)N1C(=O)[C@@H](C)[C@@H]2[C@@H]1CCN2C(=O)OCc1ccccc1;160000;inactive
CHEMBL295394;CC1CC1C(=O)N1C(=O)[C@@H](C)[C@@H]2[C@@H]1CCN2C(=O)[C@@H]1CCCN1S(=O)(=O)c1cccc2c(N(C)C)cccc12;14000;intermediate
CHEMBL431158;C[C@@H]1C(=O)N(S(C)(=O)=O)[C@H]2CCN(C(=O)OCc3ccccc3)[C@H]12;5000000;inactive
CHEMBL49788;C[C@@H]1C(=O)N(c2ccc([N+](=O)[O-])cc2)[C@H]2CCN(C(=O)OCc3ccccc3)[C@H]12;5000000;inactive
CHEMBL45799;C[C@@H]1C(=O)N(c2nccs2)[C@H]2CCN(C(=O)[C@@H]3CCCN3S(=O)(=O)c3cccc4c(N(C)C)cccc34)[C@H]12;21000;intermediate
CHEMBL299435;C[C@@H]1C(=O)N(C(=O)C2CC2)[C@H]2CCN(C(=O)[C@@H]3CCCN3S(=O)(=O)c3cccc4c(N(C)C)cccc34)[C@H]12;3400;active
CHEMBL48639;C[C@@H]1C(=O)N(c2ccc([N+](=O)[O-])cc2)[C@H]2CCN(C(=O)[C@@H]3CCCN3S(=O)(=O)c3cccc4c(N(C)C)cccc34)[C@H]12;410000;inactive
CHEMBL58311;O=c1cc(-c2ccccc2)sc2ccccc12;340000;inactive
CHEMBL421075;CS(=O)(=O)c1ccc(-c2cc(=O)c3ccccc3s2)cc1;340000;inactive
CHEMBL123060;O=c1cc(-c2cccnc2)sc2ccccc12;340000;inactive
CHEMBL122115;CS(=O)(=O)c1ccc(C2=CC(=O)c3ccccc3S2(=O)=O)cc1;1000;active
CHEMBL123391;O=c1cc(-c2ccccc2)[s+]([O-])c2ccccc12;100000;inactive
CHEMBL333186;O=C1C=C(c2cccs2)S(=O)(=O)c2ccccc21;4600;active
CHEMBL121931;O=C1C=C(c2ccc([N+](=O)[O-])cc2)S(=O)(=O)c2ccccc21;600;active
CHEMBL332411;Cc1cccc2c1S(=O)(=O)C(c1ccc([N+](=O)[O-])cc1)=CC2=O;1100;active
CHEMBL120448;CCOC(=O)c1ccc2c(c1)C(=O)C=C(c1ccc([N+](=O)[O-])cc1)S2(=O)=O;1800;active
CHEMBL124175;O=C1C=C(c2ccncc2)S(=O)(=O)c2ccccc21;1000;active
CHEMBL263745;O=C1C=C(c2ccc(-c3ccccc3)cc2)S(=O)(=O)c2ccccc21;600;active
CHEMBL421093;CCCCCCCC1=CC(=O)c2ccccc2S1(=O)=O;14000;intermediate
CHEMBL123109;CC(C)c1cccc2c1S(=O)(=O)C(c1ccc([N+](=O)[O-])cc1)=CC2=O;1800;active
CHEMBL122199;O=C1C=C(c2ccccc2)S(=O)(=O)c2ccccc21;15000;intermediate
CHEMBL124172;O=C1C=C(c2ccsc2)S(=O)(=O)c2ccccc21;340000;inactive
CHEMBL123989;Cc1cccc2c1C(=O)C=C(c1ccc([N+](=O)[O-])cc1)S2(=O)=O;1000;active
CHEMBL331182;O=C1C=C(c2cccnc2)S(=O)(=O)c2ccccc21;2000;active
CHEMBL333256;O=C1C=C(c2ccc[n+]([O-])c2)S(=O)(=O)c2ccccc21;6000;active
CHEMBL333761;O=C1C=C(c2cc[n+]([O-])cc2)S(=O)(=O)c2ccccc21;6000;active
CHEMBL123991;CC(C)(C)C1=CC(=O)c2ccccc2S1(=O)=O;340000;inactive
CHEMBL51623;C[C@@H]1C(=O)N(C(=O)C2CCC2)[C@H]2CCN(C(=O)OCc3ccccc3)C12;320000;inactive
